station_id,station_name,date,water_level_m,latitude,longitude,river_level_24h_ago,river_rise_rate
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-17,63.17,27.43,83.91,63.42,-0.003942
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-18,63.84,27.43,83.91,63.17,0.010606
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-19,63.94,27.43,83.91,63.84,0.001566
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-20,64.46,27.43,83.91,63.94,0.008133
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-21,64.53,27.43,83.91,64.46,0.001086
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-22,65.41,27.43,83.91,64.53,0.013637
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-23,66.16,27.43,83.91,65.41,0.011466
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-24,66.11,27.43,83.91,66.16,-0.000756
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-25,66.55,27.43,83.91,66.11,0.006656
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-26,66.86,27.43,83.91,66.55,0.004658
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-27,67.46,27.43,83.91,66.86,0.008974
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-28,67.12,27.43,83.91,67.46,-0.00504
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-29,67.44,27.43,83.91,67.12,0.004768
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-30,67.92,27.43,83.91,67.44,0.007117
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-01,67.26,27.43,83.91,67.92,-0.009717
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-02,66.84,27.43,83.91,67.26,-0.006244
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-03,66.08,27.43,83.91,66.84,-0.01137
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-04,66.02,27.43,83.91,66.08,-0.000908
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-05,66.35,27.43,83.91,66.02,0.004998
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-06,67.01,27.43,83.91,66.35,0.009947
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-07,67.09,27.43,83.91,67.01,0.001194
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-08,67.79,27.43,83.91,67.09,0.010434
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-09,67.28,27.43,83.91,67.79,-0.007523
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-10,66.65,27.43,83.91,67.28,-0.009364
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-11,66.68,27.43,83.91,66.65,0.00045
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-12,66.88,27.43,83.91,66.68,0.002999
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-13,66.92,27.43,83.91,66.88,0.000598
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-14,66.14,27.43,83.91,66.92,-0.011656
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-15,66.16,27.43,83.91,66.14,0.000302
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-16,65.69,27.43,83.91,66.16,-0.007104
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-17,66.01,27.43,83.91,65.69,0.004871
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-18,66.2,27.43,83.91,66.01,0.002878
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-19,65.88,27.43,83.91,66.2,-0.004834
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-20,65.72,27.43,83.91,65.88,-0.002429
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-21,65.35,27.43,83.91,65.72,-0.00563
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-22,65.37,27.43,83.91,65.35,0.000306
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-23,65.8,27.43,83.91,65.37,0.006578
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-24,65.46,27.43,83.91,65.8,-0.005167
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-25,65.71,27.43,83.91,65.46,0.003819
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-26,65.55,27.43,83.91,65.71,-0.002435
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-27,65.28,27.43,83.91,65.55,-0.004119
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-28,65.29,27.43,83.91,65.28,0.000153
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-29,64.92,27.43,83.91,65.29,-0.005667
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-30,64.75,27.43,83.91,64.92,-0.002619
STN_GAN_01,Gandak Valmikinagar Barrage,2019-07-31,64.32,27.43,83.91,64.75,-0.006641
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-01,65.16,27.43,83.91,64.32,0.01306
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-02,65.22,27.43,83.91,65.16,0.000921
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-03,64.99,27.43,83.91,65.22,-0.003527
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-04,65.13,27.43,83.91,64.99,0.002154
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-05,65.13,27.43,83.91,65.13,0.0
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-06,65.1,27.43,83.91,65.13,-0.000461
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-07,65.39,27.43,83.91,65.1,0.004455
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-08,65.75,27.43,83.91,65.39,0.005505
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-09,65.58,27.43,83.91,65.75,-0.002586
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-10,65.4,27.43,83.91,65.58,-0.002745
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-11,65.34,27.43,83.91,65.4,-0.000917
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-12,64.47,27.43,83.91,65.34,-0.013315
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-13,63.92,27.43,83.91,64.47,-0.008531
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-14,64.51,27.43,83.91,63.92,0.00923
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-15,65.22,27.43,83.91,64.51,0.011006
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-16,65.17,27.43,83.91,65.22,-0.000767
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-17,65.45,27.43,83.91,65.17,0.004296
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-18,65.63,27.43,83.91,65.45,0.00275
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-19,66.91,27.43,83.91,65.63,0.019503
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-20,67.41,27.43,83.91,66.91,0.007473
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-21,67.4,27.43,83.91,67.41,-0.000148
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-22,67.07,27.43,83.91,67.4,-0.004896
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-23,66.48,27.43,83.91,67.07,-0.008797
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-24,66.61,27.43,83.91,66.48,0.001955
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-25,66.36,27.43,83.91,66.61,-0.003753
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-26,65.84,27.43,83.91,66.36,-0.007836
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-27,65.63,27.43,83.91,65.84,-0.00319
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-28,65.25,27.43,83.91,65.63,-0.00579
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-29,65.97,27.43,83.91,65.25,0.011034
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-30,66.38,27.43,83.91,65.97,0.006215
STN_GAN_01,Gandak Valmikinagar Barrage,2019-08-31,66.42,27.43,83.91,66.38,0.000603
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-01,67.06,27.43,83.91,66.42,0.009636
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-02,67.15,27.43,83.91,67.06,0.001342
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-03,66.85,27.43,83.91,67.15,-0.004468
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-04,67.51,27.43,83.91,66.85,0.009873
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-05,67.78,27.43,83.91,67.51,0.003999
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-06,67.41,27.43,83.91,67.78,-0.005459
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-07,67.38,27.43,83.91,67.41,-0.000445
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-08,67.08,27.43,83.91,67.38,-0.004452
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-09,66.58,27.43,83.91,67.08,-0.007454
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-10,67.0,27.43,83.91,66.58,0.006308
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-11,67.82,27.43,83.91,67.0,0.012239
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-12,67.31,27.43,83.91,67.82,-0.00752
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-13,67.58,27.43,83.91,67.31,0.004011
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-14,67.37,27.43,83.91,67.58,-0.003107
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-15,67.23,27.43,83.91,67.37,-0.002078
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-16,67.04,27.43,83.91,67.23,-0.002826
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-17,66.74,27.43,83.91,67.04,-0.004475
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-18,66.81,27.43,83.91,66.74,0.001049
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-19,66.53,27.43,83.91,66.81,-0.004191
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-20,66.69,27.43,83.91,66.53,0.002405
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-21,66.72,27.43,83.91,66.69,0.00045
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-22,66.67,27.43,83.91,66.72,-0.000749
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-23,66.36,27.43,83.91,66.67,-0.00465
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-24,66.18,27.43,83.91,66.36,-0.002712
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-25,66.53,27.43,83.91,66.18,0.005289
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-26,66.78,27.43,83.91,66.53,0.003758
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-27,66.44,27.43,83.91,66.78,-0.005091
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-28,66.53,27.43,83.91,66.44,0.001355
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-29,66.88,27.43,83.91,66.53,0.005261
STN_GAN_01,Gandak Valmikinagar Barrage,2019-09-30,66.26,27.43,83.91,66.88,-0.00927
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-01,66.53,27.43,83.91,66.26,0.004075
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-02,66.32,27.43,83.91,66.53,-0.003156
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-03,66.59,27.43,83.91,66.32,0.004071
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-04,66.34,27.43,83.91,66.59,-0.003754
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-05,65.67,27.43,83.91,66.34,-0.010099
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-06,65.07,27.43,83.91,65.67,-0.009137
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-07,65.13,27.43,83.91,65.07,0.000922
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-08,65.29,27.43,83.91,65.13,0.002457
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-09,64.98,27.43,83.91,65.29,-0.004748
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-10,65.28,27.43,83.91,64.98,0.004617
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-11,64.67,27.43,83.91,65.28,-0.009344
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-12,64.69,27.43,83.91,64.67,0.000309
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-13,64.26,27.43,83.91,64.69,-0.006647
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-14,64.05,27.43,83.91,64.26,-0.003268
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-15,64.12,27.43,83.91,64.05,0.001093
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-16,63.82,27.43,83.91,64.12,-0.004679
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-17,63.72,27.43,83.91,63.82,-0.001567
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-18,64.17,27.43,83.91,63.72,0.007062
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-19,63.99,27.43,83.91,64.17,-0.002805
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-20,64.37,27.43,83.91,63.99,0.005938
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-21,63.97,27.43,83.91,64.37,-0.006214
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-22,64.23,27.43,83.91,63.97,0.004064
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-23,64.86,27.43,83.91,64.23,0.009809
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-24,63.92,27.43,83.91,64.86,-0.014493
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-25,63.65,27.43,83.91,63.92,-0.004224
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-26,63.93,27.43,83.91,63.65,0.004399
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-27,63.9,27.43,83.91,63.93,-0.000469
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-28,64.1,27.43,83.91,63.9,0.00313
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-29,63.91,27.43,83.91,64.1,-0.002964
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-30,63.99,27.43,83.91,63.91,0.001252
STN_GAN_01,Gandak Valmikinagar Barrage,2019-10-31,63.98,27.43,83.91,63.99,-0.000156
STN_GAN_02,Gandak Rewaghat Station,2019-05-01,50.72,25.98,85.22,,
STN_GAN_02,Gandak Rewaghat Station,2019-05-02,50.87,25.98,85.22,50.72,0.002957
STN_GAN_02,Gandak Rewaghat Station,2019-05-03,51.05,25.98,85.22,50.87,0.003538
STN_GAN_02,Gandak Rewaghat Station,2019-05-04,50.94,25.98,85.22,51.05,-0.002155
STN_GAN_02,Gandak Rewaghat Station,2019-05-05,50.79,25.98,85.22,50.94,-0.002945
STN_GAN_02,Gandak Rewaghat Station,2019-05-06,50.67,25.98,85.22,50.79,-0.002363
STN_GAN_02,Gandak Rewaghat Station,2019-05-07,50.88,25.98,85.22,50.67,0.004144
STN_GAN_02,Gandak Rewaghat Station,2019-05-08,50.76,25.98,85.22,50.88,-0.002358
STN_GAN_02,Gandak Rewaghat Station,2019-05-09,50.93,25.98,85.22,50.76,0.003349
STN_GAN_02,Gandak Rewaghat Station,2019-05-10,51.81,25.98,85.22,50.93,0.017279
STN_GAN_02,Gandak Rewaghat Station,2019-05-11,52.21,25.98,85.22,51.81,0.007721
STN_GAN_02,Gandak Rewaghat Station,2019-05-12,52.12,25.98,85.22,52.21,-0.001724
STN_GAN_02,Gandak Rewaghat Station,2019-05-13,52.66,25.98,85.22,52.12,0.010361
STN_GAN_02,Gandak Rewaghat Station,2019-05-14,52.54,25.98,85.22,52.66,-0.002279
STN_GAN_02,Gandak Rewaghat Station,2019-05-15,51.78,25.98,85.22,52.54,-0.014465
STN_GAN_02,Gandak Rewaghat Station,2019-05-16,51.42,25.98,85.22,51.78,-0.006952
STN_GAN_02,Gandak Rewaghat Station,2019-05-17,50.73,25.98,85.22,51.42,-0.013419
STN_GAN_02,Gandak Rewaghat Station,2019-05-18,50.63,25.98,85.22,50.73,-0.001971
STN_GAN_02,Gandak Rewaghat Station,2019-05-19,50.69,25.98,85.22,50.63,0.001185
STN_GAN_02,Gandak Rewaghat Station,2019-05-20,51.41,25.98,85.22,50.69,0.014204
STN_GAN_02,Gandak Rewaghat Station,2019-05-21,51.59,25.98,85.22,51.41,0.003501
STN_GAN_02,Gandak Rewaghat Station,2019-05-22,51.56,25.98,85.22,51.59,-0.000582
STN_GAN_02,Gandak Rewaghat Station,2019-05-23,51.94,25.98,85.22,51.56,0.00737
STN_GAN_02,Gandak Rewaghat Station,2019-05-24,51.1,25.98,85.22,51.94,-0.016173
STN_GAN_02,Gandak Rewaghat Station,2019-05-25,51.25,25.98,85.22,51.1,0.002935
STN_GAN_02,Gandak Rewaghat Station,2019-05-26,51.61,25.98,85.22,51.25,0.007024
STN_GAN_02,Gandak Rewaghat Station,2019-05-27,51.06,25.98,85.22,51.61,-0.010657
STN_GAN_02,Gandak Rewaghat Station,2019-05-28,51.57,25.98,85.22,51.06,0.009988
STN_GAN_02,Gandak Rewaghat Station,2019-05-29,51.76,25.98,85.22,51.57,0.003684
STN_GAN_02,Gandak Rewaghat Station,2019-05-30,51.64,25.98,85.22,51.76,-0.002318
STN_GAN_02,Gandak Rewaghat Station,2019-05-31,51.94,25.98,85.22,51.64,0.005809
STN_GAN_02,Gandak Rewaghat Station,2019-06-01,52.9,25.98,85.22,51.94,0.018483
STN_GAN_02,Gandak Rewaghat Station,2019-06-02,53.02,25.98,85.22,52.9,0.002268
STN_GAN_02,Gandak Rewaghat Station,2019-06-03,53.17,25.98,85.22,53.02,0.002829
STN_GAN_02,Gandak Rewaghat Station,2019-06-04,53.04,25.98,85.22,53.17,-0.002445
STN_GAN_02,Gandak Rewaghat Station,2019-06-05,52.75,25.98,85.22,53.04,-0.005468
STN_GAN_02,Gandak Rewaghat Station,2019-06-06,53.13,25.98,85.22,52.75,0.007204
STN_GAN_02,Gandak Rewaghat Station,2019-06-07,52.84,25.98,85.22,53.13,-0.005458
STN_GAN_02,Gandak Rewaghat Station,2019-06-08,52.92,25.98,85.22,52.84,0.001514
STN_GAN_02,Gandak Rewaghat Station,2019-06-09,52.78,25.98,85.22,52.92,-0.002646
STN_GAN_02,Gandak Rewaghat Station,2019-06-10,53.02,25.98,85.22,52.78,0.004547
STN_GAN_02,Gandak Rewaghat Station,2019-06-11,53.2,25.98,85.22,53.02,0.003395
STN_GAN_02,Gandak Rewaghat Station,2019-06-12,53.67,25.98,85.22,53.2,0.008835
STN_GAN_02,Gandak Rewaghat Station,2019-06-13,53.51,25.98,85.22,53.67,-0.002981
STN_GAN_02,Gandak Rewaghat Station,2019-06-14,53.46,25.98,85.22,53.51,-0.000934
STN_GAN_02,Gandak Rewaghat Station,2019-06-15,53.11,25.98,85.22,53.46,-0.006547
STN_GAN_02,Gandak Rewaghat Station,2019-06-16,52.99,25.98,85.22,53.11,-0.002259
STN_GAN_02,Gandak Rewaghat Station,2019-06-17,53.19,25.98,85.22,52.99,0.003774
STN_GAN_02,Gandak Rewaghat Station,2019-06-18,53.54,25.98,85.22,53.19,0.00658
STN_GAN_02,Gandak Rewaghat Station,2019-06-19,53.22,25.98,85.22,53.54,-0.005977
STN_GAN_02,Gandak Rewaghat Station,2019-06-20,53.62,25.98,85.22,53.22,0.007516
STN_GAN_02,Gandak Rewaghat Station,2019-06-21,54.21,25.98,85.22,53.62,0.011003
STN_GAN_02,Gandak Rewaghat Station,2019-06-22,54.43,25.98,85.22,54.21,0.004058
STN_GAN_02,Gandak Rewaghat Station,2019-06-23,55.23,25.98,85.22,54.43,0.014698
STN_GAN_02,Gandak Rewaghat Station,2019-06-24,54.97,25.98,85.22,55.23,-0.004708
STN_GAN_02,Gandak Rewaghat Station,2019-06-25,54.52,25.98,85.22,54.97,-0.008186
STN_GAN_02,Gandak Rewaghat Station,2019-06-26,53.86,25.98,85.22,54.52,-0.012106
STN_GAN_02,Gandak Rewaghat Station,2019-06-27,54.51,25.98,85.22,53.86,0.012068
STN_GAN_02,Gandak Rewaghat Station,2019-06-28,54.82,25.98,85.22,54.51,0.005687
STN_GAN_02,Gandak Rewaghat Station,2019-06-29,54.85,25.98,85.22,54.82,0.000547
STN_GAN_02,Gandak Rewaghat Station,2019-06-30,55.01,25.98,85.22,54.85,0.002917
STN_GAN_02,Gandak Rewaghat Station,2019-07-01,54.61,25.98,85.22,55.01,-0.007271
STN_GAN_02,Gandak Rewaghat Station,2019-07-02,55.64,25.98,85.22,54.61,0.018861
STN_GAN_02,Gandak Rewaghat Station,2019-07-03,55.74,25.98,85.22,55.64,0.001797
STN_GAN_02,Gandak Rewaghat Station,2019-07-04,55.83,25.98,85.22,55.74,0.001615
STN_GAN_02,Gandak Rewaghat Station,2019-07-05,56.17,25.98,85.22,55.83,0.00609
STN_GAN_02,Gandak Rewaghat Station,2019-07-06,56.42,25.98,85.22,56.17,0.004451
STN_GAN_02,Gandak Rewaghat Station,2019-07-07,56.55,25.98,85.22,56.42,0.002304
STN_GAN_02,Gandak Rewaghat Station,2019-07-08,56.29,25.98,85.22,56.55,-0.004598
STN_GAN_02,Gandak Rewaghat Station,2019-07-09,56.53,25.98,85.22,56.29,0.004264
STN_GAN_02,Gandak Rewaghat Station,2019-07-10,57.33,25.98,85.22,56.53,0.014152
STN_GAN_02,Gandak Rewaghat Station,2019-07-11,57.92,25.98,85.22,57.33,0.010291
STN_GAN_02,Gandak Rewaghat Station,2019-07-12,58.61,25.98,85.22,57.92,0.011913
STN_GAN_02,Gandak Rewaghat Station,2019-07-13,58.45,25.98,85.22,58.61,-0.00273
STN_GAN_02,Gandak Rewaghat Station,2019-07-14,58.1,25.98,85.22,58.45,-0.005988
STN_GAN_02,Gandak Rewaghat Station,2019-07-15,58.1,25.98,85.22,58.1,0.0
STN_GAN_02,Gandak Rewaghat Station,2019-07-16,58.18,25.98,85.22,58.1,0.001377
STN_GAN_02,Gandak Rewaghat Station,2019-07-17,58.66,25.98,85.22,58.18,0.00825
STN_GAN_02,Gandak Rewaghat Station,2019-07-18,58.04,25.98,85.22,58.66,-0.010569
STN_GAN_02,Gandak Rewaghat Station,2019-07-19,58.7,25.98,85.22,58.04,0.011371
STN_GAN_02,Gandak Rewaghat Station,2019-07-20,58.69,25.98,85.22,58.7,-0.00017
