latitude,longitude,population_density
24.6017,85.3182,2047.2
24.6017,85.3687,1840.8
24.6017,85.4192,1722.2
24.6017,85.4697,1534.2
24.6017,85.5202,1461.5
24.6017,85.5707,1344.5
24.6017,85.6212,1237.5
24.6017,85.6717,1102.8
24.6017,85.7222,994.7
24.6017,85.7727,998.1
24.6017,85.8232,897.3
24.6017,85.8737,887.4
24.6017,85.9242,841.0
24.6017,85.9747,792.1
24.6017,86.0253,712.5
24.6017,86.0758,689.5
24.6017,86.1263,732.5
24.6017,86.1768,714.8
24.6017,86.2273,730.3
24.6017,86.2778,791.1
24.6017,86.3283,853.6
24.6017,86.3788,868.9
24.6017,86.4293,895.3
24.6017,86.4798,895.8
24.6017,86.5303,976.8
24.6017,86.5808,1047.0
24.6017,86.6313,1018.9
24.6017,86.6818,1087.9
24.6017,86.7323,1153.0
24.6017,86.7828,1174.8
24.6017,86.8333,1199.1
24.6017,86.8838,1221.2
24.6017,86.9343,1208.2
24.6017,86.9848,1209.5
24.6017,87.0354,1249.1
24.6017,87.0859,1239.4
24.6017,87.1364,1226.5
24.6017,87.1869,1205.9
24.6017,87.2374,1143.9
24.6017,87.2879,1108.7
24.6017,87.3384,1095.0
24.6017,87.3889,1043.8
24.6017,87.4394,1007.8
24.6017,87.4899,975.3
24.6017,87.5404,943.7
24.6017,87.5909,861.9
24.6017,87.6414,829.2
24.6017,87.6919,773.1
24.6017,87.7424,780.6
24.6017,87.7929,708.4
24.6017,87.8434,716.4
24.6017,87.8939,698.5
24.6017,87.9444,656.2
24.6017,87.9949,660.9
24.6017,88.0455,598.4
24.6017,88.096,583.1
24.6017,88.1465,631.7
24.6017,88.197,582.1
24.6017,88.2475,552.3
24.6017,88.298,577.0
24.6017,88.3485,590.7
24.6017,88.399,540.5
24.6017,88.4495,567.6
24.6017,88.5,519.4
24.6525,83.5,525.0
24.6525,83.5505,572.7
24.6525,83.601,584.3
24.6525,83.6515,604.6
24.6525,83.702,626.1
24.6525,83.7525,662.8
24.6525,83.803,645.3
24.6525,83.8535,652.0
24.6525,83.904,715.3
24.6525,83.9545,702.9
24.6525,84.0051,750.3
24.6525,84.0556,760.7
24.6525,84.1061,801.6
24.6525,84.1566,928.6
24.6525,84.2071,978.4
24.6525,84.2576,1036.1
24.6525,84.3081,1092.3
24.6525,84.3586,1164.5
24.6525,84.4091,1267.6
24.6525,84.4596,1394.8
24.6525,84.5101,1555.5
24.6525,84.5606,1724.8
24.6525,84.6111,1897.7
24.6525,84.6616,2067.3
24.6525,84.7121,2345.1
24.6525,84.7626,2574.2
24.6525,84.8131,2823.7
24.6525,84.8636,3096.9
24.6525,84.9141,3325.7
24.6525,84.9646,3479.7
24.6525,85.0152,3519.7
24.6525,85.0657,3432.6
24.6525,85.1162,3152.1
24.6525,85.1667,2896.7
24.6525,85.2172,2622.9
24.6525,85.2677,2368.0
24.6525,85.3182,2200.0
24.6525,85.3687,1978.4
24.6525,85.4192,1773.8
24.6525,85.4697,1579.4
24.6525,85.5202,1466.6
24.6525,85.5707,1338.9
24.6525,85.6212,1204.6
24.6525,85.6717,1129.2
24.6525,85.7222,1042.6
24.6525,85.7727,987.2
24.6525,85.8232,925.4
24.6525,85.8737,823.1
24.6525,85.9242,801.7
24.6525,85.9747,780.3
24.6525,86.0253,734.5
24.6525,86.0758,731.5
24.6525,86.1263,734.9
24.6525,86.1768,723.2
24.6525,86.2273,746.7
24.6525,86.2778,826.2
24.6525,86.3283,813.6
24.6525,86.3788,898.0
24.6525,86.4293,968.7
24.6525,86.4798,984.2
24.6525,86.5303,1015.8
24.6525,86.5808,1083.9
24.6525,86.6313,1117.0
24.6525,86.6818,1170.8
24.6525,86.7323,1246.8
24.6525,86.7828,1242.6
24.6525,86.8333,1323.0
24.6525,86.8838,1345.6
24.6525,86.9343,1306.9
24.6525,86.9848,1305.1
24.6525,87.0354,1305.5
24.6525,87.0859,1286.6
24.6525,87.1364,1270.9
24.6525,87.1869,1287.8
24.6525,87.2374,1201.9
24.6525,87.2879,1179.7
24.6525,87.3384,1176.2
24.6525,87.3889,1063.1
24.6525,87.4394,1078.4
24.6525,87.4899,988.4
24.6525,87.5404,929.5
24.6525,87.5909,931.9
24.6525,87.6414,885.2
24.6525,87.6919,866.7
24.6525,87.7424,819.7
24.6525,87.7929,792.6
24.6525,87.8434,721.2
24.6525,87.8939,686.0
24.6525,87.9444,707.6
24.6525,87.9949,690.3
24.6525,88.0455,685.5
24.6525,88.096,621.9
24.6525,88.1465,603.2
24.6525,88.197,621.9
24.6525,88.2475,579.3
24.6525,88.298,619.1
24.6525,88.3485,606.2
24.6525,88.399,565.1
24.6525,88.4495,584.5
24.6525,88.5,578.9
24.7034,83.5,529.7
24.7034,83.5505,603.2
24.7034,83.601,582.4
24.7034,83.6515,620.9
24.7034,83.702,595.0
24.7034,83.7525,658.0
24.7034,83.803,637.0
24.7034,83.8535,629.4
24.7034,83.904,727.0
24.7034,83.9545,692.0
24.7034,84.0051,744.9
24.7034,84.0556,835.5
24.7034,84.1061,881.8
24.7034,84.1566,905.0
24.7034,84.2071,971.3
24.7034,84.2576,1027.7
24.7034,84.3081,1097.1
24.7034,84.3586,1194.4
24.7034,84.4091,1330.7
24.7034,84.4596,1462.3
24.7034,84.5101,1609.5
24.7034,84.5606,1774.9
24.7034,84.6111,1908.9
24.7034,84.6616,2158.4
24.7034,84.7121,2370.9
24.7034,84.7626,2690.1
24.7034,84.8131,2993.6
24.7034,84.8636,3367.4
24.7034,84.9141,3664.1
24.7034,84.9646,3913.9
24.7034,85.0152,3971.8
24.7034,85.0657,3819.7
24.7034,85.1162,3484.0
24.7034,85.1667,3099.3
24.7034,85.2172,2774.0
24.7034,85.2677,2530.3
24.7034,85.3182,2219.8
24.7034,85.3687,2050.8
24.7034,85.4192,1841.1
24.7034,85.4697,1616.2
24.7034,85.5202,1464.1
24.7034,85.5707,1403.8
24.7034,85.6212,1239.7
24.7034,85.6717,1139.5
24.7034,85.7222,1088.2
24.7034,85.7727,1023.7
24.7034,85.8232,961.6
24.7034,85.8737,886.5
24.7034,85.9242,807.3
24.7034,85.9747,741.4
24.7034,86.0253,760.1
24.7034,86.0758,717.0
24.7034,86.1263,734.3
24.7034,86.1768,804.1
24.7034,86.2273,775.0
24.7034,86.2778,843.6
24.7034,86.3283,846.8
24.7034,86.3788,928.6
24.7034,86.4293,944.4
24.7034,86.4798,1001.4
24.7034,86.5303,1056.0
24.7034,86.5808,1155.0
24.7034,86.6313,1220.1
24.7034,86.6818,1263.7
24.7034,86.7323,1348.2
24.7034,86.7828,1350.8
24.7034,86.8333,1386.5
24.7034,86.8838,1466.9
24.7034,86.9343,1438.2
24.7034,86.9848,1507.8
24.7034,87.0354,1429.1
24.7034,87.0859,1490.2
24.7034,87.1364,1388.6
24.7034,87.1869,1418.7
24.7034,87.2374,1343.9
24.7034,87.2879,1329.4
24.7034,87.3384,1200.5
24.7034,87.3889,1181.8
24.7034,87.4394,1157.9
24.7034,87.4899,1066.3
24.7034,87.5404,1021.1
24.7034,87.5909,975.7
24.7034,87.6414,909.0
24.7034,87.6919,878.9
24.7034,87.7424,835.3
24.7034,87.7929,824.0
24.7034,87.8434,722.3
24.7034,87.8939,711.3
24.7034,87.9444,738.0
24.7034,87.9949,709.3
24.7034,88.0455,653.2
24.7034,88.096,647.3
24.7034,88.1465,604.1
24.7034,88.197,587.7
24.7034,88.2475,600.7
24.7034,88.298,583.3
24.7034,88.3485,593.5
24.7034,88.399,545.3
24.7034,88.4495,609.8
24.7034,88.5,604.0
24.7542,83.5,577.7
24.7542,83.5505,574.3
24.7542,83.601,567.3
24.7542,83.6515,620.5
24.7542,83.702,624.9
24.7542,83.7525,600.3
24.7542,83.803,679.9
24.7542,83.8535,695.6
24.7542,83.904,732.1
24.7542,83.9545,744.6
24.7542,84.0051,770.8
24.7542,84.0556,795.8
24.7542,84.1061,883.8
24.7542,84.1566,932.7
24.7542,84.2071,929.5
24.7542,84.2576,1000.3
24.7542,84.3081,1111.7
24.7542,84.3586,1242.8
24.7542,84.4091,1368.2
24.7542,84.4596,1429.6
24.7542,84.5101,1613.4
24.7542,84.5606,1767.5
24.7542,84.6111,2012.0
24.7542,84.6616,2229.5
24.7542,84.7121,2491.6
24.7542,84.7626,2763.9
24.7542,84.8131,3106.1
24.7542,84.8636,3489.9
24.7542,84.9141,3914.4
24.7542,84.9646,4426.9
24.7542,85.0152,4552.4
24.7542,85.0657,4174.5
24.7542,85.1162,3719.5
24.7542,85.1667,3269.5
24.7542,85.2172,2920.9
24.7542,85.2677,2615.8
24.7542,85.3182,2330.6
24.7542,85.3687,2041.4
24.7542,85.4192,1848.7
24.7542,85.4697,1641.7
24.7542,85.5202,1550.7
24.7542,85.5707,1386.8
24.7542,85.6212,1238.8
24.7542,85.6717,1172.2
24.7542,85.7222,1079.6
24.7542,85.7727,982.2
24.7542,85.8232,896.4
24.7542,85.8737,883.7
24.7542,85.9242,821.9
24.7542,85.9747,799.0
24.7542,86.0253,741.6
24.7542,86.0758,756.0
24.7542,86.1263,762.8
24.7542,86.1768,798.1
24.7542,86.2273,861.8
24.7542,86.2778,866.6
24.7542,86.3283,892.0
24.7542,86.3788,935.1
24.7542,86.4293,1049.2
24.7542,86.4798,1098.5
24.7542,86.5303,1169.1
24.7542,86.5808,1196.6
24.7542,86.6313,1258.9
24.7542,86.6818,1317.5
24.7542,86.7323,1410.6
24.7542,86.7828,1491.1
24.7542,86.8333,1528.8
24.7542,86.8838,1575.1
24.7542,86.9343,1641.4
24.7542,86.9848,1610.3
24.7542,87.0354,1620.2
24.7542,87.0859,1622.0
24.7542,87.1364,1556.3
24.7542,87.1869,1526.9
24.7542,87.2374,1489.1
24.7542,87.2879,1432.5
24.7542,87.3384,1300.9
24.7542,87.3889,1294.6
24.7542,87.4394,1191.9
24.7542,87.4899,1107.5
24.7542,87.5404,1061.1
24.7542,87.5909,1044.3
24.7542,87.6414,951.1
24.7542,87.6919,888.3
24.7542,87.7424,867.4
24.7542,87.7929,795.0
24.7542,87.8434,745.0
24.7542,87.8939,716.2
24.7542,87.9444,686.7
24.7542,87.9949,662.4
24.7542,88.0455,638.1
24.7542,88.096,660.1
24.7542,88.1465,612.2
24.7542,88.197,614.5
24.7542,88.2475,648.2
24.7542,88.298,604.4
24.7542,88.3485,610.4
24.7542,88.399,561.9
24.7542,88.4495,555.2
24.7542,88.5,535.4
24.8051,83.5,535.4
24.8051,83.5505,553.8
24.8051,83.601,556.8
24.8051,83.6515,562.6
24.8051,83.702,579.9
24.8051,83.7525,624.3
24.8051,83.803,623.7
24.8051,83.8535,659.2
24.8051,83.904,696.7
24.8051,83.9545,742.1
24.8051,84.0051,725.3
24.8051,84.0556,826.8
24.8051,84.1061,860.0
24.8051,84.1566,870.6
24.8051,84.2071,996.7
24.8051,84.2576,1072.9
24.8051,84.3081,1087.8
24.8051,84.3586,1201.8
24.8051,84.4091,1355.8
24.8051,84.4596,1480.1
24.8051,84.5101,1584.0
24.8051,84.5606,1758.1
24.8051,84.6111,1969.8
24.8051,84.6616,2208.4
24.8051,84.7121,2484.2
24.8051,84.7626,2770.3
24.8051,84.8131,3130.8
24.8051,84.8636,3560.5
24.8051,84.9141,3970.8
24.8051,84.9646,4512.2
24.8051,85.0152,4750.4
24.8051,85.0657,4243.7
24.8051,85.1162,3721.0
24.8051,85.1667,3292.3
24.8051,85.2172,2884.5
24.8051,85.2677,2587.7
24.8051,85.3182,2313.8
24.8051,85.3687,2047.4
24.8051,85.4192,1839.0
24.8051,85.4697,1665.3
24.8051,85.5202,1478.9
24.8051,85.5707,1366.4
24.8051,85.6212,1239.3
24.8051,85.6717,1146.1
24.8051,85.7222,1040.9
24.8051,85.7727,1025.8
24.8051,85.8232,935.6
24.8051,85.8737,884.9
24.8051,85.9242,843.9
24.8051,85.9747,777.6
24.8051,86.0253,707.3
24.8051,86.0758,746.0
24.8051,86.1263,783.7
24.8051,86.1768,834.4
24.8051,86.2273,851.8
24.8051,86.2778,874.9
24.8051,86.3283,940.1
24.8051,86.3788,1004.6
24.8051,86.4293,1090.9
24.8051,86.4798,1154.1
24.8051,86.5303,1211.1
24.8051,86.5808,1340.0
24.8051,86.6313,1391.0
24.8051,86.6818,1444.0
24.8051,86.7323,1514.1
24.8051,86.7828,1594.3
24.8051,86.8333,1669.0
24.8051,86.8838,1716.3
24.8051,86.9343,1755.6
24.8051,86.9848,1780.7
24.8051,87.0354,1767.4
24.8051,87.0859,1799.8
24.8051,87.1364,1690.0
24.8051,87.1869,1665.7
24.8051,87.2374,1585.3
24.8051,87.2879,1552.6
24.8051,87.3384,1401.0
24.8051,87.3889,1341.5
24.8051,87.4394,1306.8
24.8051,87.4899,1221.6
24.8051,87.5404,1145.5
24.8051,87.5909,1033.7
24.8051,87.6414,965.3
24.8051,87.6919,949.1
24.8051,87.7424,919.4
24.8051,87.7929,844.2
24.8051,87.8434,804.7
24.8051,87.8939,745.2
24.8051,87.9444,752.2
24.8051,87.9949,677.2
24.8051,88.0455,667.5
24.8051,88.096,662.3
24.8051,88.1465,655.8
24.8051,88.197,622.0
24.8051,88.2475,599.7
24.8051,88.298,627.8
24.8051,88.3485,591.2
24.8051,88.399,604.5
24.8051,88.4495,560.9
24.8051,88.5,578.3
24.8559,83.5,564.3
24.8559,83.5505,535.4
24.8559,83.601,569.2
24.8559,83.6515,565.8
24.8559,83.702,574.9
24.8559,83.7525,666.0
24.8559,83.803,632.2
24.8559,83.8535,693.9
24.8559,83.904,675.7
24.8559,83.9545,740.1
24.8559,84.0051,781.4
24.8559,84.0556,808.6
24.8559,84.1061,845.2
24.8559,84.1566,894.2
24.8559,84.2071,951.3
24.8559,84.2576,1069.4
24.8559,84.3081,1144.1
24.8559,84.3586,1250.3
24.8559,84.4091,1293.0
24.8559,84.4596,1468.4
24.8559,84.5101,1631.2
24.8559,84.5606,1738.9
24.8559,84.6111,1923.4
24.8559,84.6616,2199.8
24.8559,84.7121,2441.3
24.8559,84.7626,2753.3
24.8559,84.8131,3025.8
24.8559,84.8636,3442.8
24.8559,84.9141,3779.0
24.8559,84.9646,4107.1
24.8559,85.0152,4182.2
24.8559,85.0657,3974.7
24.8559,85.1162,3585.6
24.8559,85.1667,3198.4
24.8559,85.2172,2841.5
24.8559,85.2677,2577.3
24.8559,85.3182,2269.7
24.8559,85.3687,2068.7
24.8559,85.4192,1833.8
24.8559,85.4697,1650.7
24.8559,85.5202,1502.9
24.8559,85.5707,1355.8
24.8559,85.6212,1275.0
24.8559,85.6717,1154.4
24.8559,85.7222,1045.2
24.8559,85.7727,1022.8
24.8559,85.8232,915.8
24.8559,85.8737,871.6
24.8559,85.9242,851.3
24.8559,85.9747,786.0
24.8559,86.0253,708.4
24.8559,86.0758,793.0
24.8559,86.1263,804.6
24.8559,86.1768,822.5
24.8559,86.2273,853.5
24.8559,86.2778,958.2
24.8559,86.3283,1002.9
24.8559,86.3788,1061.1
24.8559,86.4293,1161.9
24.8559,86.4798,1232.4
24.8559,86.5303,1267.1
24.8559,86.5808,1371.6
24.8559,86.6313,1463.0
24.8559,86.6818,1601.8
24.8559,86.7323,1643.9
24.8559,86.7828,1781.2
24.8559,86.8333,1881.5
24.8559,86.8838,1960.1
24.8559,86.9343,1965.6
24.8559,86.9848,2026.3
24.8559,87.0354,1963.8
24.8559,87.0859,1989.5
24.8559,87.1364,1874.6
24.8559,87.1869,1819.9
24.8559,87.2374,1762.5
24.8559,87.2879,1613.9
24.8559,87.3384,1520.8
24.8559,87.3889,1461.8
24.8559,87.4394,1366.9
24.8559,87.4899,1271.2
24.8559,87.5404,1192.5
24.8559,87.5909,1104.2
24.8559,87.6414,1011.7
24.8559,87.6919,956.7
24.8559,87.7424,887.6
24.8559,87.7929,895.7
24.8559,87.8434,825.3
24.8559,87.8939,771.3
24.8559,87.9444,741.4
24.8559,87.9949,757.2
24.8559,88.0455,677.8
24.8559,88.096,696.8
24.8559,88.1465,675.1
24.8559,88.197,668.9
24.8559,88.2475,607.4
24.8559,88.298,662.5
24.8559,88.3485,654.8
24.8559,88.399,613.9
24.8559,88.4495,613.6
24.8559,88.5,621.8
24.9068,83.5,577.7
24.9068,83.5505,542.8
24.9068,83.601,587.6
24.9068,83.6515,602.7
24.9068,83.702,602.6
24.9068,83.7525,644.4
24.9068,83.803,679.6
24.9068,83.8535,701.3
24.9068,83.904,689.1
24.9068,83.9545,691.9
24.9068,84.0051,795.9
24.9068,84.0556,823.9
24.9068,84.1061,812.4
24.9068,84.1566,928.7
24.9068,84.2071,985.3
24.9068,84.2576,1027.1
24.9068,84.3081,1113.4
24.9068,84.3586,1190.5
24.9068,84.4091,1269.4
24.9068,84.4596,1414.0
24.9068,84.5101,1591.5
24.9068,84.5606,1688.0
24.9068,84.6111,1897.2
24.9068,84.6616,2110.0
24.9068,84.7121,2355.4
24.9068,84.7626,2646.9
24.9068,84.8131,2885.3
24.9068,84.8636,3182.0
24.9068,84.9141,3493.1
24.9068,84.9646,3671.7
24.9068,85.0152,3692.3
24.9068,85.0657,3565.0
24.9068,85.1162,3282.1
24.9068,85.1667,2990.0
24.9068,85.2172,2724.4
24.9068,85.2677,2447.1
24.9068,85.3182,2241.8
24.9068,85.3687,1979.5
24.9068,85.4192,1804.4
24.9068,85.4697,1639.5
24.9068,85.5202,1442.0
24.9068,85.5707,1365.0
24.9068,85.6212,1213.7
24.9068,85.6717,1178.4
24.9068,85.7222,1028.3
24.9068,85.7727,975.7
24.9068,85.8232,885.1
24.9068,85.8737,902.3
24.9068,85.9242,814.4
24.9068,85.9747,779.9
24.9068,86.0253,702.5
24.9068,86.0758,791.7
24.9068,86.1263,787.9
24.9068,86.1768,887.6
24.9068,86.2273,882.9
24.9068,86.2778,939.0
24.9068,86.3283,991.1
24.9068,86.3788,1098.2
24.9068,86.4293,1186.2
24.9068,86.4798,1235.5
24.9068,86.5303,1390.2
24.9068,86.5808,1470.7
24.9068,86.6313,1589.8
24.9068,86.6818,1701.7
24.9068,86.7323,1819.0
24.9068,86.7828,1949.1
24.9068,86.8333,2024.5
24.9068,86.8838,2116.4
24.9068,86.9343,2234.2
24.9068,86.9848,2270.7
24.9068,87.0354,2217.4
24.9068,87.0859,2165.2
24.9068,87.1364,2120.2
24.9068,87.1869,2003.3
24.9068,87.2374,1860.2
24.9068,87.2879,1751.3
24.9068,87.3384,1675.9
24.9068,87.3889,1554.4
24.9068,87.4394,1393.2
24.9068,87.4899,1305.8
24.9068,87.5404,1212.0
24.9068,87.5909,1161.6
24.9068,87.6414,1032.2
24.9068,87.6919,969.8
24.9068,87.7424,964.0
24.9068,87.7929,859.7
24.9068,87.8434,849.5
24.9068,87.8939,773.8
24.9068,87.9444,737.7
24.9068,87.9949,730.4
24.9068,88.0455,750.0
24.9068,88.096,742.3
24.9068,88.1465,722.5
24.9068,88.197,670.8
24.9068,88.2475,676.3
24.9068,88.298,624.0
24.9068,88.3485,616.8
24.9068,88.399,651.8
24.9068,88.4495,569.0
24.9068,88.5,563.6
24.9576,83.5,536.9
24.9576,83.5505,531.7
24.9576,83.601,554.8
24.9576,83.6515,599.3
24.9576,83.702,600.7
24.9576,83.7525,654.8
24.9576,83.803,667.8
24.9576,83.8535,651.6
24.9576,83.904,670.2
24.9576,83.9545,708.8
24.9576,84.0051,759.1
24.9576,84.0556,771.8
24.9576,84.1061,844.6
24.9576,84.1566,878.4
24.9576,84.2071,948.4
24.9576,84.2576,1006.3
24.9576,84.3081,1072.1
24.9576,84.3586,1212.9
24.9576,84.4091,1299.2
24.9576,84.4596,1364.8
24.9576,84.5101,1554.5
24.9576,84.5606,1673.0
24.9576,84.6111,1873.5
24.9576,84.6616,2053.8
24.9576,84.7121,2231.2
24.9576,84.7626,2423.5
24.9576,84.8131,2677.9
24.9576,84.8636,2930.4
24.9576,84.9141,3138.0
24.9576,84.9646,3238.9
24.9576,85.0152,3253.2
24.9576,85.0657,3217.3
24.9576,85.1162,3051.5
24.9576,85.1667,2792.4
24.9576,85.2172,2528.7
24.9576,85.2677,2307.0
24.9576,85.3182,2072.0
24.9576,85.3687,1947.8
24.9576,85.4192,1708.3
24.9576,85.4697,1588.5
24.9576,85.5202,1426.1
24.9576,85.5707,1326.8
24.9576,85.6212,1228.0
24.9576,85.6717,1148.9
24.9576,85.7222,1017.6
24.9576,85.7727,930.9
24.9576,85.8232,879.0
24.9576,85.8737,886.2
24.9576,85.9242,837.3
24.9576,85.9747,774.4
24.9576,86.0253,755.8
24.9576,86.0758,797.7
24.9576,86.1263,800.5
24.9576,86.1768,907.5
24.9576,86.2273,922.4
24.9576,86.2778,981.5
24.9576,86.3283,1062.6
24.9576,86.3788,1104.2
24.9576,86.4293,1203.0
24.9576,86.4798,1348.4
24.9576,86.5303,1406.7
24.9576,86.5808,1570.1
24.9576,86.6313,1673.5
24.9576,86.6818,1825.7
24.9576,86.7323,1963.6
24.9576,86.7828,2114.7
24.9576,86.8333,2280.9
24.9576,86.8838,2364.6
24.9576,86.9343,2470.9
24.9576,86.9848,2504.1
24.9576,87.0354,2508.8
24.9576,87.0859,2471.3
24.9576,87.1364,2355.6
24.9576,87.1869,2187.4
24.9576,87.2374,2031.0
24.9576,87.2879,1902.8
